kegg_function,kegg
Vitamin biosynthesis,K10810
Vitamin biosynthesis,K03147
Vitamin biosynthesis,K00941
Vitamin biosynthesis,K00788
Vitamin biosynthesis,K00946
Vitamin biosynthesis,K22699
Vitamin biosynthesis,K03147
Vitamin biosynthesis,K00941
Vitamin biosynthesis,K00788
Vitamin biosynthesis,K21220
Vitamin biosynthesis,K21219
Vitamin biosynthesis,K00946
Vitamin biosynthesis,K00941
Vitamin biosynthesis,K00788
Vitamin biosynthesis,K14153
Vitamin biosynthesis,K21219
Vitamin biosynthesis,K01497
Vitamin biosynthesis,K14652
Vitamin biosynthesis,K01498
Vitamin biosynthesis,K00082
Vitamin biosynthesis,K11752
Vitamin biosynthesis,K22912
Vitamin biosynthesis,K20860
Vitamin biosynthesis,K20861
Vitamin biosynthesis,K20862
Vitamin biosynthesis,K21063
Vitamin biosynthesis,K21064
Vitamin biosynthesis,K02858
Vitamin biosynthesis,K14652
Vitamin biosynthesis,K00794
Vitamin biosynthesis,K00793
Vitamin biosynthesis,K20884
Vitamin biosynthesis,K22949
Vitamin biosynthesis,K11753
Vitamin biosynthesis,3.6.1.22
Vitamin biosynthesis,3.2.2.6
Vitamin biosynthesis,3.2.2.4
Vitamin biosynthesis,3.4.1.19
Vitamin biosynthesis,K00826
Vitamin biosynthesis,K00606
Vitamin biosynthesis,K00077
Vitamin biosynthesis,K01579
Vitamin biosynthesis,K01918
Vitamin biosynthesis,K13799
Vitamin biosynthesis,K00606
Vitamin biosynthesis,K00077
Vitamin biosynthesis,K13367
Vitamin biosynthesis,K00128
Vitamin biosynthesis,K01918
Vitamin biosynthesis,K03472
Vitamin biosynthesis,K03473
Vitamin biosynthesis,K00831
Vitamin biosynthesis,K00097
Vitamin biosynthesis,K03474
Vitamin biosynthesis,K00275
Vitamin biosynthesis,K06215
Vitamin biosynthesis,K08681
Vitamin biosynthesis,K00652
Vitamin biosynthesis,K00833
Vitamin biosynthesis,K19563
Vitamin biosynthesis,K01935
Vitamin biosynthesis,K19562
Vitamin biosynthesis,K01012
Vitamin biosynthesis,K00652
Vitamin biosynthesis,K25570
